year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2017,1,Северо-Кавказский фед.округ,497,497,497,83,83,83,699,699,699,10.61381074,10.61381074,10.61381074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Северо-Кавказский фед.округ,903,406,406,147,64,64,1271,572,572,10.36671368,-0.24709705999999976,-0.24709705999999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Северо-Кавказский фед.округ,1317,414,414,218,71,71,1853,582,582,10.52631579,0.1596021099999998,0.1596021099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Северо-Кавказский фед.округ,1829,512,512,299,81,81,2570,717,717,10.42174974,-0.10456605000000074,-0.10456605000000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Северо-Кавказский фед.округ,2401,572,572,388,89,89,3404,834,834,10.23206751,-0.18968222999999895,-0.18968222999999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Северо-Кавказский фед.округ,3003,602,602,497,109,109,4282,878,878,10.3996652,0.16759768999999913,0.16759768999999913,,,,,,,,,,,,,,,,,,,1873777,1873777,374755.4,899167,899167,179833.4,49740,49740,9948,1937,1937,387.4,601709,601709,120341.8,48917,48917,9783.4,1930,1930,386,652556,652556,130511.2
2017,7,Северо-Кавказский фед.округ,3763,760,760,667,170,170,5377,1095,1095,11.03573792,0.6360727200000014,0.6360727200000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Северо-Кавказский фед.округ,4488,725,725,807,140,140,6488,1111,1111,11.06237149,0.02663356999999955,0.02663356999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Северо-Кавказский фед.округ,5241,753,753,949,142,142,7516,1028,1028,11.21086828,0.14849678999999938,0.14849678999999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Северо-Кавказский фед.округ,6010,769,769,1120,171,171,8540,1024,1024,11.5942029,0.3833346200000012,0.3833346200000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Северо-Кавказский фед.округ,7505,1495,747.5,1409,289,144.5,10601,2061,1030.5,11.73189009,0.1376871899999994,0.0688435949999997,14.41318689,14.41318689,1.3102897172727273,4.892248997,4.892248997,0.4447499088181818,2992765,2992765,272069.54545454547,2294703,2294703,208609.36363636365,432481,432481,39316.454545454544,80890,80890,7353.636363636364,3719399,1845622,307603.6666666667,1574216,675049,112508.16666666667,103033,53293,8882.166666666666,3596,1659,276.5,1345057,743348,123891.33333333333,102105,53188,8864.666666666666,3575,1645,274.1666666666667,1450737,798181,133030.16666666666
2017,1,Ставропольский край,208,208,208,31,31,31,291,291,291,9.627329193,9.627329193,9.627329193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Ставропольский край,392,184,184,64,33,33,538,247,247,10.63122924,1.0039000470000001,1.0039000470000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Ставропольский край,557,165,165,80,16,16,756,218,218,9.56937799,-1.0618512500000001,-1.0618512500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Ставропольский край,759,202,202,101,21,21,1006,250,250,9.123757904,-0.4456200859999999,-0.4456200859999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Ставропольский край,1000,241,241,137,36,36,1336,330,330,9.300746775,0.1769888710000007,0.1769888710000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Ставропольский край,1243,243,243,171,34,34,1659,323,323,9.344262295,0.0435155199999997,0.0435155199999997,,,,,,,,,,,,,,,,,,,401256,401256,80251.2,179336,179336,35867.2,28698,28698,5739.6,639,639,127.8,179336,179336,35867.2,28698,28698,5739.6,639,639,127.8,208673,208673,41734.6
2017,7,Ставропольский край,1534,291,291,223,52,52,2090,431,431,9.641158668,0.29689637299999916,0.29689637299999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Ставропольский край,1843,309,309,272,49,49,2517,427,427,9.752599498,0.11144083000000116,0.11144083000000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Ставропольский край,2180,337,337,316,44,44,2943,426,426,9.696225836,-0.05637366200000038,-0.05637366200000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Ставропольский край,2476,296,296,368,52,52,3332,389,389,9.945945946,0.24972011000000016,0.24972011000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Ставропольский край,3121,645,322.5,456,88,44,4209,877,438.5,9.774919614,-0.17102633200000028,-0.08551316600000014,16.26026117,16.26026117,1.478205560909091,4.368502332,4.368502332,0.3971365756363637,1104292,1104292,100390.18181818182,843383,843383,76671.18181818182,133325,133325,12120.454545454546,19694,19694,1790.3636363636363,847707,446451,74408.5,358871,179535,29922.5,57042,28344,4724,1225,586,97.66666666666667,359318,179982,29997,57042,28344,4724,1225,586,97.66666666666667,417585,208912,34818.666666666664
2017,1,Республика Ингушетия,17,17,17,6,6,6,26,26,26,18.75,18.75,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Республика Ингушетия,24,7,7,8,2,2,36,10,10,18.18181818,-0.5681818199999995,-0.5681818199999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Республика Ингушетия,37,13,13,13,5,5,53,17,17,19.6969697,1.5151515199999999,1.5151515199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Республика Ингушетия,57,20,20,21,8,8,83,30,30,20.19230769,0.49533798999999945,0.49533798999999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Республика Ингушетия,73,16,16,25,4,4,103,20,20,19.53125,-0.6610576899999998,-0.6610576899999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Республика Ингушетия,90,17,17,30,5,5,145,42,42,17.14285714,-2.3883928599999997,-2.3883928599999997,,,,,,,,,,,,,,,,,,,61721,61721,12344.2,41224,41224,8244.8,563,563,112.6,10,10,2,24194,24194,4838.8,537,537,107.4,10,10,2,24741,24741,4948.2
2017,7,Республика Ингушетия,117,27,27,40,10,10,194,49,49,17.09401709,-0.048840049999999025,-0.048840049999999025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Республика Ингушетия,132,15,15,42,2,2,232,38,38,15.32846715,-1.7655499400000014,-1.7655499400000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Республика Ингушетия,155,23,23,57,15,15,262,30,30,17.86833856,2.5398714100000017,2.5398714100000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Республика Ингушетия,191,36,36,70,13,13,307,45,45,18.56763926,0.6993006999999984,0.6993006999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Республика Ингушетия,238,47,23.5,84,14,7,394,87,43.5,17.57322176,-0.9944175000000008,-0.4972087500000004,17.4827358,17.4827358,1.5893396181818182,8.110300081,8.110300081,0.7373000073636363,104983,104983,9543.90909090909,86049,86049,7822.636363636364,14299,14299,1299.909090909091,3073,3073,279.3636363636364,108571,46850,7808.333333333333,71637,30413,5068.833333333333,904,341,56.833333333333336,16,6,1,37781,13587,2264.5,845,308,51.333333333333336,17,7,1.1666666666666667,38643,13902,2317
2017,1,Республика Дагестан,117,117,117,21,21,21,165,165,165,11.29032258,11.29032258,11.29032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Республика Дагестан,194,77,77,37,16,16,278,113,113,11.74603175,0.45570917000000044,0.45570917000000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Республика Дагестан,295,101,101,59,22,22,451,173,173,11.56862745,-0.17740430000000096,-0.17740430000000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Республика Дагестан,426,131,131,87,28,28,662,211,211,11.61548732,0.04685987000000047,0.04685987000000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Республика Дагестан,563,137,137,106,19,19,869,207,207,10.87179487,-0.7436924499999993,-0.7436924499999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Республика Дагестан,725,162,162,140,34,34,1146,277,277,10.88646967,0.014674799999999877,0.014674799999999877,,,,,,,,,,,,,,,,,,,457687,457687,91537.4,336003,336003,67200.6,10044,10044,2008.8,166,166,33.2,139320,139320,27864,9493,9493,1898.6,166,166,33.2,148979,148979,29795.8
2017,7,Республика Дагестан,942,217,217,200,60,60,1474,328,328,11.9474313,1.0609616299999995,1.0609616299999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Республика Дагестан,1146,204,204,249,49,49,1830,356,356,11.97691198,0.029480680000000703,0.029480680000000703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Республика Дагестан,1302,156,156,292,43,43,2058,228,228,12.42553191,0.44861992999999956,0.44861992999999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Республика Дагестан,1498,196,196,343,51,51,2339,281,281,12.78896346,0.3634315499999996,0.3634315499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Республика Дагестан,1845,347,173.5,434,91,45.5,2828,489,244.5,13.30472103,0.5157575699999999,0.25787878499999994,14.26739867,14.26739867,1.2970362427272728,5.840524086,5.840524086,0.5309567350909091,764943,764943,69540.27272727272,585815,585815,53255.90909090909,124936,124936,11357.818181818182,26304,26304,2391.2727272727275,695690,238003,39667.166666666664,466888,130885,21814.166666666668,20531,10487,1747.8333333333333,301,135,22.5,466888,327568,54594.666666666664,20531,11038,1839.6666666666667,301,135,22.5,487720,338741,56456.833333333336
2017,1,Кабардино-Балкарская Респ.,36,36,36,8,8,8,42,42,42,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Кабардино-Балкарская Респ.,76,40,40,12,4,4,88,46,46,12,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Кабардино-Балкарская Респ.,112,36,36,21,9,9,133,45,45,13.63636364,1.6363636400000008,1.6363636400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Кабардино-Балкарская Респ.,161,49,49,23,2,2,188,55,55,10.90047393,-2.7358897100000004,-2.7358897100000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Кабардино-Балкарская Респ.,213,52,52,29,6,6,252,64,64,10.3202847,-0.5801892300000002,-0.5801892300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Кабардино-Балкарская Респ.,272,59,59,39,10,10,322,70,70,10.8033241,0.4830393999999991,0.4830393999999991,,,,,,,,,,,,,,,,,,,529426,529426,105885.2,115446,115446,23089.2,4312,4312,862.4,384,384,76.8,115446,115446,23089.2,4312,4312,862.4,384,384,76.8,120142,120142,24028.4
2017,7,Кабардино-Балкарская Респ.,331,59,59,56,17,17,381,59,59,12.81464531,2.01132121,2.01132121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Кабардино-Балкарская Респ.,389,58,58,67,11,11,450,69,69,12.95938104,0.14473573000000073,0.14473573000000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Кабардино-Балкарская Респ.,462,73,73,83,16,16,532,82,82,13.49593496,0.5365539199999994,0.5365539199999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Кабардино-Балкарская Респ.,541,79,79,102,19,19,623,91,91,14.06896552,0.5730305600000012,0.5730305600000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Кабардино-Балкарская Респ.,683,142,71,137,35,17.5,794,171,85.5,14.71535983,0.6463943099999998,0.3231971549999999,15.84815386,15.84815386,1.44074126,5.099647864,5.099647864,0.46360435127272726,279222,279222,25383.81818181818,217058,217058,19732.545454545456,42498,42498,3863.4545454545455,6654,6654,604.9090909090909,1150184,620758,103459.66666666667,226337,110891,18481.833333333332,8816,4504,750.6666666666666,747,363,60.5,226337,110891,18481.833333333332,8816,4504,750.6666666666666,747,363,60.5,235900,115758,19293
2017,1,Респ. Сев.Осетия - Алания,57,57,57,7,7,7,69,69,69,9.210526316,9.210526316,9.210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Респ. Сев.Осетия - Алания,106,49,49,9,2,2,144,75,75,5.882352941,-3.3281733749999995,-3.3281733749999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Респ. Сев.Осетия - Алания,144,38,38,16,7,7,192,48,48,7.692307692,1.8099547510000003,1.8099547510000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Респ. Сев.Осетия - Алания,180,36,36,23,7,7,246,54,54,8.550185874,0.8578781820000003,0.8578781820000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Респ. Сев.Осетия - Алания,243,63,63,30,7,7,346,100,100,7.978723404,-0.5714624700000002,-0.5714624700000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Респ. Сев.Осетия - Алания,287,44,44,40,10,10,409,63,63,8.908685969,0.9299625650000003,0.9299625650000003,,,,,,,,,,,,,,,,,,,132533,132533,26506.6,125508,125508,25101.6,4085,4085,817,731,731,146.2,68301,68301,13660.2,3854,3854,770.8,724,724,144.8,72879,72879,14575.8
2017,7,Респ. Сев.Осетия - Алания,349,62,62,55,15,15,497,88,88,9.963768116,1.0550821470000002,1.0550821470000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Респ. Сев.Осетия - Алания,407,58,58,66,11,11,581,84,84,10.20092736,0.237159243999999,0.237159243999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Респ. Сев.Осетия - Алания,476,69,69,76,10,10,688,107,107,9.947643979,-0.25328338099999925,-0.25328338099999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Респ. Сев.Осетия - Алания,559,83,83,92,16,16,791,103,103,10.41902605,0.47138207099999896,0.47138207099999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Респ. Сев.Осетия - Алания,732,173,86.5,116,24,12,1030,239,119.5,10.12216405,-0.29686199999999907,-0.14843099999999954,16.4945639,16.4945639,1.499505809090909,4.314705707,4.314705707,0.39224597336363637,278583,278583,25325.727272727272,208408,208408,18946.18181818182,39323,39323,3574.818181818182,8188,8188,744.3636363636364,259702,127169,21194.833333333332,245199,119691,19948.5,8882,4797,799.5,1293,562,93.66666666666667,113150,44849,7474.833333333333,8201,4347,724.5,1271,547,91.16666666666667,122622,49743,8290.5
2017,1,Карачаево-Черкесская Респ.,43,43,43,7,7,7,76,76,76,8.43373494,8.43373494,8.43373494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Карачаево-Черкесская Респ.,75,32,32,8,1,1,123,47,47,6.106870229,-2.3268647110000007,-2.3268647110000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Карачаево-Черкесская Респ.,115,40,40,11,3,3,173,50,50,5.97826087,-0.12860935900000037,-0.12860935900000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Карачаево-Черкесская Респ.,166,51,51,12,1,1,253,80,80,4.528301887,-1.4499589830000001,-1.4499589830000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Карачаево-Черкесская Респ.,208,42,42,20,8,8,323,70,70,5.83090379,1.3026019030000002,1.3026019030000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Карачаево-Черкесская Респ.,267,59,59,27,7,7,402,79,79,6.293706294,0.4628025039999999,0.4628025039999999,,,,,,,,,,,,,,,,,,,171539,171539,34307.8,39643,39643,7928.6,538,538,107.6,,,,24928,24928,4985.6,538,538,107.6,,,,25466,25466,5093.2
2017,7,Карачаево-Черкесская Респ.,344,77,77,34,7,7,502,100,100,6.343283582,0.04957728800000005,0.04957728800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Карачаево-Черкесская Респ.,402,58,58,41,7,7,595,93,93,6.446540881,0.10325729900000002,0.10325729900000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Карачаево-Черкесская Респ.,461,59,59,48,7,7,702,107,107,6.4,-0.04654088099999942,-0.04654088099999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Карачаево-Черкесская Респ.,514,53,53,55,7,7,777,75,75,6.610576923,0.21057692299999964,0.21057692299999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Карачаево-Черкесская Респ.,608,94,47,69,14,7,916,139,69.5,7.005076142,0.39449921900000007,0.19724960950000003,14.79315313,14.79315313,1.3448321027272727,5.249743219,5.249743219,0.47724938354545454,132788,132788,12071.636363636364,104010,104010,9455.454545454546,21860,21860,1987.2727272727273,3650,3650,331.8181818181818,407496,235957,39326.166666666664,76787,37144,6190.666666666667,1380,842,140.33333333333334,2,2,0.18181818181818182,49551,24623,4103.833333333333,1380,842,140.33333333333334,2,2,0.18181818181818182,50933,25467,4244.5
2017,1,Чеченская Республика,19,19,19,3,3,3,30,30,30,9.090909091,9.090909091,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Чеченская Республика,36,17,17,9,6,6,64,34,34,12.32876712,3.237858029,3.237858029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Чеченская Республика,57,21,21,18,9,9,95,31,31,15.92920354,3.6004364199999994,3.6004364199999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Чеченская Республика,80,23,23,32,14,14,132,37,37,19.51219512,3.5829915800000016,3.5829915800000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Чеченская Республика,101,21,21,41,9,9,175,43,43,18.98148148,-0.5307136400000019,-0.5307136400000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Чеченская Республика,119,18,18,50,9,9,199,24,24,20.08032129,1.0988398100000012,1.0988398100000012,,,,,,,,,,,,,,,,,,,119615,119615,23923,62007,62007,12401.4,1500,1500,300,7,7,1.4,50184,50184,10036.8,1485,1485,297,7,7,1.4,51676,51676,10335.2
2017,7,Чеченская Республика,146,27,27,59,9,9,239,40,40,19.79865772,-0.2816635699999992,-0.2816635699999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Чеченская Республика,169,23,23,70,11,11,283,44,44,19.83002833,0.03137060999999974,0.03137060999999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Чеченская Республика,205,36,36,77,7,7,331,48,48,18.87254902,-0.9574793100000001,-0.9574793100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Чеченская Республика,231,26,26,90,13,13,371,40,40,19.52277657,0.6502275500000003,0.6502275500000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Чеченская Республика,278,47,23.5,113,23,11.5,430,59,29.5,20.81031308,1.287536509999999,0.6437682549999995,7.986627699,7.986627699,0.7260570635454545,3.524146642,3.524146642,0.3203769674545454,327954,327954,29814,249980,249980,22725.454545454544,56240,56240,5112.727272727273,13327,13327,1211.5454545454545,250049,130434,21739,128497,66490,11081.666666666666,5478,3978,663,12,5,0.8333333333333334,92032,41848,6974.666666666667,5290,3805,634.1666666666666,12,5,0.8333333333333334,97334,45658,7609.666666666667
2017,1,Южный фед.округ (с Крымом),1111,1111,1111,176,176,176,1447,1447,1447,10.84411583,10.84411583,10.84411583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Южный фед.округ (с Крымом),2163,1052,1052,305,129,129,2762,1315,1315,9.944571242,-0.8995445879999995,-0.8995445879999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Южный фед.округ (с Крымом),3364,1201,1201,443,138,138,4236,1474,1474,9.467835007,-0.4767362350000006,-0.4767362350000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Южный фед.округ (с Крымом),4691,1327,1327,601,158,158,5918,1682,1682,9.2192054,-0.2486296069999998,-0.2486296069999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Южный фед.округ (с Крымом),6093,1402,1402,783,182,182,7673,1755,1755,9.259697256,0.040491856000000936,0.040491856000000936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Южный фед.округ (с Крымом),7594,1501,1501,996,213,213,9609,1936,1936,9.391796322,0.13209906599999854,0.13209906599999854,,,,,,,,,,,,,,,,,,,3563028,3563028,712605.6,1053478,1053478,210695.6,111951,111951,22390.2,1629,1629,325.8,991373,991373,198274.6,103385,103385,20677,3660,3660,732,1098418,1098418,219683.6
2017,7,Южный фед.округ (с Крымом),9306,1712,1712,1242,246,246,11829,2220,2220,9.501950884,0.11015456199999996,0.11015456199999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Южный фед.округ (с Крымом),11186,1880,1880,1515,273,273,14238,2409,2409,9.617215768,0.11526488400000012,0.11526488400000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Южный фед.округ (с Крымом),13049,1863,1863,1778,263,263,16623,2385,2385,9.662518341,0.045302573000000734,0.045302573000000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Южный фед.округ (с Крымом),15007,1958,1958,2058,280,280,18972,2349,2349,9.786019971,0.1235016299999998,0.1235016299999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,Краснодарский край,398,398,398,68,68,68,505,505,505,11.86736475,11.86736475,11.86736475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Краснодарский край,739,341,341,114,46,46,902,397,397,11.22047244,-0.6468923100000001,-0.6468923100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Краснодарский край,1137,398,398,170,56,56,1361,459,459,11.10385369,-0.11661875000000066,-0.11661875000000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Краснодарский край,1621,484,484,231,61,61,1948,587,587,10.60119321,-0.5026604799999994,-0.5026604799999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,Краснодарский край,2101,480,480,311,80,80,2531,583,583,10.94299789,0.3418046799999992,0.3418046799999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6,Краснодарский край,2571,470,470,404,93,93,3116,585,585,11.47727273,0.5342748400000001,0.5342748400000001,,,,,,,,,,,,,,,,,,,1819244,1819244,363848.8,457290,457290,91458,45834,45834,9166.8,361,361,72.2,440923,440923,88184.6,40557,40557,8111.4,260,260,52,481740,481740,96348
2017,7,Краснодарский край,3191,620,620,508,104,104,3890,774,774,11.55070487,0.07343214000000131,0.07343214000000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8,Краснодарский край,3843,652,652,618,110,110,4708,818,818,11.60345475,0.05274987999999858,0.05274987999999858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9,Краснодарский край,4483,640,640,720,102,102,5499,791,791,11.57742402,-0.02603072999999867,-0.02603072999999867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,Краснодарский край,5207,724,724,842,122,122,6368,869,869,11.67822469,0.10080066999999993,0.10080066999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,Краснодарский край,6415,1208,604,1053,211,105.5,7739,1371,685.5,11.97679709,0.2985723999999994,0.1492861999999997,18.90164057,18.90164057,1.718330960909091,4.744916788,4.744916788,0.43135607163636364,2393695,2393695,217608.63636363635,1842973,1842973,167543,230981,230981,20998.272727272728,30678,30678,2788.909090909091,3781669,1962425,327070.8333333333,835562,378272,63045.333333333336,80903,35069,5844.833333333333,871,510,85,744914,303991,50665.166666666664,76556,35999,5999.833333333333,861,601,100.16666666666667,822331,340591,56765.166666666664
2017,1,Астраханская область,66,66,66,3,3,3,94,94,94,3.092783505,3.092783505,3.092783505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Астраханская область,148,82,82,7,4,4,196,102,102,3.448275862,0.35549235700000015,0.35549235700000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3,Астраханская область,241,93,93,7,0,0,318,122,122,2.153846154,-1.294429708,-1.294429708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4,Астраханская область,339,98,98,13,6,6,455,137,137,2.777777778,0.6239316239999999,0.6239316239999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
