year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2014,12,Костромская область,927,94,94,95,16,16,1115,122,122,7.9,0.5,0.5,,,,,,,238157,238157,119078.5,180491,180491,90245.5,27704,27704,13852,3085,3085,1542.5,181441,181441,90720.5,100041,100041,50020.5,18798,18798,9399,3592,3592,1796,68580,68580,34290,18813,18813,9406.5,3596,3596,1798,90989,90989,45494.5
2014,10,Курская область,1708,1708,170.8,209,209,20.9,2169,2169,216.9,8.8,8.8,0.8800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Курская область,1857,149,149,239,30,30,2374,205,205,9.1,0.29999999999999893,0.29999999999999893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Курская область,2037,180,180,263,24,24,2595,221,221,9.2,0.09999999999999964,0.09999999999999964,,,,,,,441957,441957,220978.5,352362,352362,176181,29087,29087,14543.5,5117,5117,2558.5,760968,760968,380484,121282,121282,60641,30439,30439,15219.5,56,56,28,116166,116166,58083,29839,29839,14919.5,51,51,25.5,146056,146056,73028
2014,10,Липецкая область,1643,1643,164.3,229,229,22.9,2014,2014,201.4,10.2,10.2,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Липецкая область,1789,146,146,246,17,17,2193,179,179,10.1,-0.09999999999999964,-0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Липецкая область,1977,188,188,283,37,37,2420,227,227,10.5,0.40000000000000036,0.40000000000000036,,,,,,,478587,478587,239293.5,367328,367328,183664,59653,59653,29826.5,10130,10130,5065,409379,409379,204689.5,196527,196527,98263.5,16800,16800,8400,309,309,154.5,194914,194914,97457,16826,16826,8413,309,309,154.5,212049,212049,106024.5
2014,10,г. Москва,9463,9463,946.3,723,723,72.3,10750,10750,1075,6.3,6.3,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,г. Москва,10332,869,869,798,75,75,11711,961,961,6.4,0.10000000000000053,0.10000000000000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,г. Москва,11312,980,980,888,90,90,12770,1059,1059,6.5,0.09999999999999964,0.09999999999999964,,,,,,,4601237,4601237,2300618.5,3900749,3900749,1950374.5,378250,378250,189125,47942,47942,23971,8466754,8466754,4233377,1532224,1532224,766112,153826,153826,76913,726,726,363,1128783,1128783,564391.5,153826,153826,76913,726,726,363,1283335,1283335,641667.5
